payment_id,order_id,gross_amount,razorpay_fee,gst_on_fee,tax_deducted,net_amount,settlement_utr,settlement_date,status
pay_1b8197999d4046,order_0046,14144.72,282.89,50.92,141.45,13669.46,ICIC1823374989,2025-06-16,captured
pay_158a923a713b4e,order_0057,7936.57,158.73,28.57,0.0,7749.27,KKBK6717565512,2025-06-18,captured
pay_08d94033b8ac4f,order_0058,7367.56,147.35,26.52,0.0,7193.69,KKBK6717565512,2025-06-18,captured
pay_38fa74f10c944a,order_0016,43620.33,872.41,157.03,436.2,42154.69,SBIN7360260647,2025-06-17,captured
pay_353452e8dc4b4f,order_0043,39732.59,794.65,143.04,397.33,38397.57,KKBK6507527354,2025-06-18,captured
pay_aec267b8237246,order_0023,28851.55,577.03,103.87,288.52,27882.13,KKBK6801128059,2025-06-18,captured
pay_2328f8d8331148,order_0027,5632.71,112.65,20.28,0.0,5499.78,ICIC0196556981,2025-06-18,captured
pay_011d9e7026f248,order_0044,39674.24,793.48,142.83,396.74,38341.19,KKBK3136783777,2025-06-21,captured
pay_794de0ef811741,order_0029,15015.14,300.3,54.05,150.15,14510.64,HDFC6629946804,2025-06-22,captured
pay_10cbaffc8c9340,order_0047,37551.96,751.04,135.19,375.52,36290.21,HDFC4082400842,2025-06-20,captured
pay_11161e2be9fc4f,order_0067,14200.0,284.0,51.12,0.0,13864.88,SBIN2386922219,2025-06-21,disputed
pay_fbfc9b46bad740,order_0030,19630.02,392.6,70.67,196.3,18970.45,SBIN3872148951,2025-06-23,captured
pay_619e52fc474f44,order_0003,10081.46,201.63,36.29,100.81,9742.73,SBIN1559407816,2025-06-23,captured
pay_813aa55eb5aa4e,order_0009,34702.64,694.05,124.93,347.03,33536.63,SBIN2704828148,2025-06-23,captured
pay_78cb7800239c4b,order_0035,18961.62,379.23,68.26,189.62,18324.51,SBIN0366909670,2025-06-25,captured
pay_84d9d262650149,order_0038,20734.12,414.68,74.64,207.34,20037.46,SBIN4170805310,2025-06-24,captured
pay_99dc4ae4a05244,order_0064,8988.03,179.76,32.36,0.0,8775.91,SBIN0576627028,2025-06-24,partial_refund
pay_672e247ca6f24f,order_0005,7738.11,154.76,27.86,0.0,7555.49,BARB1928327648,2025-06-24,captured
pay_7198c902d43949,order_0056,7587.01,151.74,27.31,0.0,7407.96,UTIB9065940139,2025-06-25,captured
pay_ece461dbebe548,order_0004,37408.51,748.17,134.67,374.09,36151.58,BARB1034131647,2025-06-27,captured
pay_5e4c69263d6549,order_0012,18255.16,365.1,65.72,182.55,17641.79,SBIN1331509839,2025-06-26,captured
pay_0573d6035d4244,order_0055,12499.9,250.0,45.0,0.0,12204.9,UTIB9065940139,2025-06-25,captured
pay_f700dab5657041,order_0065,2420.7,48.41,8.71,0.0,2363.58,BARB2174596158,2025-06-29,disputed
pay_7f4f5d779ea347,order_0045,13593.48,271.87,48.94,135.93,13136.74,ICIC9578856855,2025-06-29,captured
pay_55c67fe3a0b94b,order_0019,28062.48,561.25,101.02,280.62,27119.59,KKBK8543534624,2025-06-30,captured
pay_9d135e3c638349,order_0036,34029.64,680.59,122.51,340.3,32886.24,KKBK3734670656,2025-06-30,captured
pay_2a05c88980f44d,order_0028,11835.15,236.7,42.61,118.35,11437.49,KKBK3561595148,2025-06-29,captured
pay_c1a39cf771a446,order_0042,31975.23,639.5,115.11,319.75,30900.87,BARB4987769453,2025-06-29,captured
pay_f9d6f5d9bd1249,order_0061,2999.0,59.98,10.8,0.0,2928.22,SBIN1317127484,2025-06-29,captured
pay_80fe4251119546,order_0062,2999.0,59.98,10.8,0.0,2928.22,HDFC7826398214,2025-06-29,captured
pay_4dec5c3bedf74c,order_0021,13181.94,263.64,47.46,131.82,12739.02,KKBK8084124118,2025-07-02,captured
pay_10097b259b3e4a,order_0033,42776.76,855.54,154.0,427.77,41339.45,SBIN8727743487,2025-07-02,captured
pay_9aed87e9c11a45,order_0050,20547.89,410.96,73.97,205.48,19857.48,SBIN4990913341,2025-07-01,captured
pay_8146252b7b724e,order_0014,11313.38,226.27,40.73,113.13,10933.25,UTIB1656670106,2025-07-03,captured
pay_03903122af314a,order_0011,4311.58,86.23,15.52,0.0,4209.83,HDFC2782489638,2025-07-03,captured
pay_70b28f7d2eac4f,order_0018,22876.84,457.54,82.36,228.77,22108.17,KKBK1219136193,2025-07-05,captured
pay_a9ce6cdc017847,order_0037,41419.6,828.39,149.11,414.2,40027.9,KKBK9016272046,2025-07-06,captured
pay_c906f109df6442,order_0059,2999.0,59.98,10.8,0.0,2928.22,SBIN8087603859,2025-07-06,captured
pay_2601ce72d44c4f,order_0060,2999.0,59.98,10.8,0.0,2928.22,UTIB3482477109,2025-07-06,captured
pay_5d7892e3e47d47,order_0063,11641.9,232.84,41.91,0.0,11367.15,ICIC9972787558,2025-07-10,partial_refund
pay_3dfe4fa849544c,order_0007,6713.55,134.27,24.17,0.0,6555.11,BARB9696532871,2025-07-09,captured
pay_9cda18e7162f45,order_0017,31498.32,629.97,113.39,314.98,30439.98,HDFC3430980500,2025-07-09,captured
