txn_date,narration,amount,balance,value_date
2025-06-09,NEFT SBIN5185067165 RAZORPAY SOFTWAR PVT LTD order_0041,34724.79,313272.87,09-Jun-2025
2025-06-10,NEFT HDFC4558122362 RAZORPAY SOFTWAR PVT LTD order_0034,"12,292.21","440,906.20",11-Jun-2025
2025-06-14,BY TRANSFER-NEFT-UTIB3791769367-RAZORPAY SOFTWARE P-order_0031,INR 10143.82,INR 546210.18,14-Jun-2025
2025-06-17,CLG CREDIT RAZORPAY SOFT 0046 PYMT,"13,669.46","608,249.91",18-Jun-2025
2025-06-18,NEFT/UTIB9570154303/RAZORPAY SOFTWARE PVT LTD/FLIPKART INDIA,7129.03,490957.74,19-Jun-2025
2025-06-20,NEFT/SBIN7360260647/RAZORPAY SOFTWARE PVT LTD/ACME CORP,"₹42,154.69","₹665,347.56",21-Jun-2025
2025-06-22,NEFT CR-ICIC0196556981-RAZORPAY SOFTWARE PVT-order_0027,5499.78,737127.04,22-Jun-2025
2025-06-22,IMPS/HDFC4082400842/RAZORPAY/order_0047/SETTLEMENT,INR 36290.21,INR 826269.08,23-Jun-2025
2025-06-23,IMPS/SBIN1559407816/RAZORPAY/GLOBAL IMPEX/SETTLEMENT,"9,742.73","868,597.14",23-Jun-2025
2025-06-26,ONLINE TRF RAZORPAY PVT order_0038 SETL,"₹20,037.46","₹940,495.74",26-Jun-2025
2025-06-28,ONLINE TRF RAZORPAY PVT order_0056 SETL,19612.86,976440.00,29-Jun-2025
2025-07-03,BY TRANSFER-NEFT-BARB4987769453-RAZORPAY SOFTWARE P-order_0042,"₹30,900.87","₹1,148,077.88",03-Jul-2025
2025-07-04,BY TRANSFER-NEFT-KKBK8543534624-RAZORPAY SOFTWARE P-SUNRISE TRADERS,"27,119.59","1,072,853.28",04-Jul-2025
2025-07-04,BY CLG RAZORPAY STTLMNT order_0021,12739.02,1166673.34,04-Jul-2025
2025-07-04,BY TRANSFER-NEFT-UTIB1656670106-RAZORPAY SOFTWARE P-PRIYA SHARMA,INR 10933.25,INR 1238803.52,04-Jul-2025
2025-07-09,NEFT CR-KKBK9016272046-RAZORPAY SOFTWARE PVT-order_0037,"40,027.90","1,305,149.42",09-Jul-2025
2025-07-12,MMT/NEFT/ICIC9972787558/RAZORPAY/SETTLMNT/order_0063,"₹11,367.15","₹1,322,373.01",13-Jul-2025
21-Jun-2025,ACH CR RAZRPAY STLMT order_0057,INR 14942.96,INR 623192.87,22/06/2025
21-Jun-2025,RTGS/KKBK3136783777/RAZORPAYSOFTWARE/order_0044,"₹38,341.19","₹775,468.23",22/06/2025
21/06/2025,ONLINE TRF RAZORPAY PVT FRESH FOODS CO SETL,INR 27882.13,INR 731627.26,2025-06-22
22-Jun-2025,RTGS/KKBK6507527354/RAZORPAYSOFTWARE/order_0043,"38,397.57","703,745.13",22/06/2025
22-Jun-2025,ONLINE TRF RAZORPAY PVT order_0067 SETL,13614.88,839883.96,23/06/2025
22/06/2025,NEFT/UTIB9998887776/RAZORPAY ADHOC CREDIT/UNIDENTIFIED,8450.00,1367818.10,2025-06-22
23/06/2025,NEFT HDFC6629946804 RAZORPAY SOFTWAR PVT LTD order_0029,"14,510.64","789,978.87",2025-06-23
25-Jun-2025,MMT/NEFT/SBIN2704828148/RAZORPAY/SETTLMNT/order_0009,INR 33536.63,INR 902133.77,25/06/2025
26-Jun-2025,IMPS/SBIN0576627028/RAZORPAY/order_0064/SETTLEMENT,"8,775.91","949,271.65",26/06/2025
26/06/2025,BY TRANSFER-NEFT-SBIN3872148951-RAZORPAY SOFTWARE P-METRO RETAIL,"₹18,970.45","₹858,854.41",2025-06-27
26/06/2025,IMPS/BARB1928327648/RAZORPAY/order_0005/SETTLEMENT,INR 7555.49,INR 956827.14,2025-06-26
28-Jun-2025,NEFT/BARB1034131647/RAZORPAY SOFTWARE PVT LTD/order_0004,"₹36,151.58","₹1,012,591.58",29/06/2025
28/06/2025,NEFT/SBIN0366909670/RAZORPAY SOFTWARE PVT LTD/order_0035,18324.51,920458.28,2025-06-28
30/06/2025,ONLINE TRF RAZORPAY PVT order_0012 SETL,"17,641.79","1,030,233.37",2025-06-30
30/06/2025,NEFT/ICIC9578856855/RAZORPAY SOFTWARE PVT LTD/order_0045,"₹13,136.74","₹1,045,733.69",2025-06-30
